,brand,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr,y_test,y_cb_pred,error
18,Kia,Comprehensive,Petrol,5,28000,First Owner,998.0,Automatic,2024,995000.0,1157163.6633186394,162163.6633186394
19,Hyundai,Comprehensive,Petrol,5,37000,First Owner,998.0,Automatic,2022,875000.0,1034110.7656340635,159110.76563406351
20,Kia,Own Damage,Petrol,5,33000,First Owner,1497.0,Manual,2022,1074000.0,1034254.6196585923,-39745.38034140773
21,Hyundai,Own Damage,Petrol,5,70000,Second Owner,1591.0,Automatic,2019,750000.0,808886.8595610198,58886.85956101981
22,Tata,Zero Dep,Petrol,5,27000,First Owner,1199.0,Automatic,2023,755000.0,1019581.8715918949,264581.8715918949
23,Maruti,Own Damage,Petrol,5,44000,First Owner,1462.0,Manual,2021,730000.0,849950.8796747857,119950.87967478565
24,Hyundai,Own Damage,Petrol,5,70000,Second Owner,1197.0,Manual,2016,320000.0,286007.2747730129,-33992.725226987095
25,Maruti,Zero Dep,Petrol,5,18000,First Owner,1490.0,Automatic,2024,1845000.0,1653860.615169579,-191139.38483042107
26,Mahindra,Comprehensive,Diesel,7,16000,First Owner,1493.0,Manual,2024,849000.0,1158053.2397890245,309053.23978902446
27,Jeep,Comprehensive,Diesel,5,37000,First Owner,1956.0,Manual,2018,792000.0,777055.7390311115,-14944.260968888528
28,MG,Own Damage,Petrol,5,9600,First Owner,1451.0,Automatic,2024,1840000.0,1820087.3594121945,-19912.640587805538
29,Kia,Own Damage,Petrol,5,28000,First Owner,998.0,Automatic,2022,990000.0,1060975.610726419,70975.6107264189
30,Kia,Own Damage,Petrol,5,37000,First Owner,1497.0,Manual,2022,1049000.0,1037166.5113897682,-11833.488610231783
31,Mahindra,Own Damage,Diesel,7,56000,First Owner,1997.0,Manual,2016,650000.0,882027.2767229016,232027.27672290162
32,Kia,Comprehensive,Petrol,5,57000,First Owner,998.0,Automatic,2020,975000.0,906413.8864249218,-68586.1135750782
33,Jeep,Third Party,Diesel,5,68000,First Owner,1956.0,Automatic,2020,1295000.0,1336432.9306282292,41432.930628229165
34,Renault,Own Damage,Petrol,7,30000,First Owner,999.0,Automatic,2021,470000.0,812740.0870671403,342740.08706714027
35,Honda,Comprehensive,Petrol,5,80000,Second Owner,1497.0,Automatic,2016,549000.0,594241.4359183346,45241.43591833464
36,Maruti,Comprehensive,Petrol,5,33156,First Owner,1197.0,Manual,2023,545000.0,830757.0302284801,285757.0302284801
37,Maruti,Own Damage,Petrol,5,50000,First Owner,1462.0,Manual,2021,699000.0,811821.3359779258,112821.3359779258
38,Kia,Own Damage,Petrol,5,48292,First Owner,1353.0,Manual,2021,1275000.0,885592.6903663427,-389407.30963365734
39,Kia,Zero Dep,Petrol,6,24000,First Owner,1482.0,Automatic,2023,1525000.0,1561305.198169782,36305.19816978206
40,Toyota,Comprehensive,Petrol,5,8000,First Owner,1490.0,Automatic,2024,1910000.0,1658701.9793228232,-251298.02067717677
41,Maruti,Zero Dep,Petrol,5,5700,First Owner,1197.0,Manual,2024,815000.0,791076.2027350989,-23923.797264901106
42,Honda,Comprehensive,Petrol,5,62157,First Owner,1198.0,Manual,2013,245000.0,205708.00702591383,-39291.99297408617
43,Hyundai,Own Damage,Petrol,5,75045,First Owner,1591.0,Manual,2017,620000.0,646172.5728809331,26172.57288093306
44,Kia,Zero Dep,Petrol,5,11000,First Owner,1482.0,Automatic,2023,1750000.0,1560137.2748732138,-189862.72512678616
45,Volkswagen,Comprehensive,Petrol,5,45000,First Owner,1498.0,Automatic,2022,1350000.0,1128237.9941439498,-221762.00585605018
46,Ford,Comprehensive,Diesel,5,72000,First Owner,1498.0,Manual,2019,450000.0,602152.2847302139,152152.28473021393
47,Skoda,Own Damage,Diesel,5,79000,First Owner,1968.0,Automatic,2018,1000000.0,1304392.43742953,304392.4374295301
48,Honda,Comprehensive,Petrol,5,61087,Second Owner,1497.0,Automatic,2018,790000.0,751300.6882929669,-38699.31170703308
49,MG,Comprehensive,Petrol,5,59000,First Owner,1451.0,Manual,2019,875000.0,711884.1039016057,-163115.8960983943
50,Renault,Comprehensive,Diesel,5,72000,First Owner,1461.0,Manual,2018,425000.0,465162.58298214,40162.58298214001
51,Honda,Zero Dep,Petrol,5,37500,First Owner,1199.0,Automatic,2018,519000.0,608526.8109350473,89526.81093504734
52,Volvo,Comprehensive,Diesel,5,40000,First Owner,1984.0,Automatic,2018,1725000.0,1516859.5112469834,-208140.48875301657
53,Hyundai,Comprehensive,Petrol,5,34000,First Owner,998.0,Automatic,2023,1025000.0,1115618.8824662527,90618.88246625266
54,Mahindra,Third Party,Diesel,7,94500,Second Owner,2179.0,Automatic,2017,630000.0,1659654.2859235057,1029654.2859235057
55,Kia,Own Damage,Petrol,5,47000,First Owner,1497.0,Manual,2020,875000.0,822992.201308304,-52007.79869169602
56,Hyundai,Comprehensive,Petrol,5,35000,First Owner,998.0,Automatic,2019,790000.0,726032.595126406,-63967.40487359394
57,Mahindra,Own Damage,Petrol,6,15000,First Owner,1999.0,Automatic,2024,2000000.0,2017186.944750663,17186.944750662893
58,Hyundai,Comprehensive,Petrol,5,68000,First Owner,1197.0,Manual,2018,399000.0,438769.85894961044,39769.85894961044
59,Tata,Own Damage,Petrol,5,10000,First Owner,1199.0,Manual,2024,997000.0,902806.8165496958,-94193.1834503042
60,Toyota,Own Damage,Petrol,5,68000,First Owner,1496.0,Automatic,2019,660000.0,786287.3376085158,126287.33760851575
61,Audi,Comprehensive,Diesel,5,55000,Second Owner,1968.0,Automatic,2019,1850000.0,1664615.8432930596,-185384.15670694038
62,Kia,Comprehensive,Petrol,5,41000,First Owner,1482.0,Automatic,2023,1725000.0,1438274.6370664542,-286725.36293354584
63,Kia,Own Damage,Petrol,5,16200,First Owner,998.0,Automatic,2022,800000.0,1075103.2248118902,275103.22481189016
64,Kia,Comprehensive,Petrol,5,62000,First Owner,1497.0,Automatic,2022,1245000.0,1220754.9330374917,-24245.066962508252
65,Toyota,Own Damage,Petrol,7,112000,First Owner,2694.0,Manual,2016,800000.0,834462.0469344209,34462.04693442094
66,Kia,Comprehensive,Petrol,5,48000,First Owner,998.0,Manual,2021,950000.0,671428.2944684043,-278571.70553159574
67,Toyota,Comprehensive,Diesel,7,97000,First Owner,2393.0,Automatic,2022,2000000.0,1700118.8743688716,-299881.12563112844
68,Kia,Own Damage,Petrol,7,7100,First Owner,1482.0,Automatic,2023,1525000.0,1607485.3240845802,82485.32408458018
69,Kia,Own Damage,Petrol,5,62000,First Owner,1497.0,Automatic,2022,1250000.0,1239437.949504675,-10562.05049532489
70,Hyundai,Own Damage,Petrol,5,72000,First Owner,1591.0,Automatic,2017,749000.0,802642.9952837394,53642.99528373941
71,Kia,Comprehensive,Petrol,5,32000,First Owner,998.0,Automatic,2023,1050000.0,1111120.240673598,61120.2406735979
72,Kia,Own Damage,Diesel,5,30000,First Owner,1493.0,Manual,2024,1075000.0,1211135.2092336945,136135.20923369448
73,Kia,Comprehensive,Petrol,5,24500,First Owner,1482.0,Automatic,2024,1850000.0,1731136.8533512335,-118863.14664876647
74,Kia,Comprehensive,Petrol,5,41000,First Owner,1353.0,Manual,2019,871000.0,696065.4735244338,-174934.5264755662
75,MG,Own Damage,Petrol,5,15500,Second Owner,1451.0,Automatic,2023,1500000.0,1736620.643674903,236620.64367490308
76,Renault,Comprehensive,Petrol,7,47000,First Owner,999.0,Manual,2022,525000.0,411200.713039438,-113799.28696056199
77,Hyundai,Comprehensive,Petrol,5,16000,First Owner,1497.0,Automatic,2024,1735000.0,1721436.2049918105,-13563.79500818951
78,Volkswagen,Comprehensive,Petrol,5,29000,First Owner,1498.0,Automatic,2024,1650000.0,1748682.3323744016,98682.33237440162
79,Tata,Own Damage,Diesel,7,11115,First Owner,1956.0,Manual,2025,1650000.0,1309621.591718372,-340378.40828162804
80,MG,Comprehensive,Petrol,7,11000,First Owner,1451.0,Automatic,2024,1899000.0,1980158.748771509,81158.74877150892
81,Kia,Comprehensive,Petrol,5,35000,First Owner,1197.0,Manual,2022,775000.0,781092.2679108029,6092.267910802853
82,Hyundai,Comprehensive,Petrol,5,65000,First Owner,998.0,Automatic,2019,711000.0,661442.939084301,-49557.060915698996
83,Audi,Own Damage,Petrol,5,69000,Third Owner,2773.0,Automatic,2011,650000.0,1203676.1994256307,553676.1994256307
84,Kia,Own Damage,Petrol,5,16200,First Owner,998.0,Automatic,2022,800000.0,1075103.2248118902,275103.22481189016
85,Maruti,Own Damage,Petrol,5,17600,First Owner,1197.0,Manual,2021,620000.0,648855.406706433,28855.406706433045
86,Hyundai,Comprehensive,Petrol,5,48000,First Owner,1397.0,Automatic,2021,1190000.0,1120970.8635900568,-69029.13640994322
87,Audi,Own Damage,Petrol,5,69000,Third Owner,2773.0,Automatic,2011,650000.0,1203676.1994256307,553676.1994256307
88,Maruti,Zero Dep,Petrol,5,10000,First Owner,1197.0,Automatic,2025,835000.0,1031350.401807213,196350.40180721297
