brand,name,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
Hyundai,Hyundai Creta 1.6 SX Automatic Diesel,1200000.0,2020,Comprehensive,Diesel,5,47000 ,First Owner,1582 ,Automatic,2020
Kia,Kia Seltos HTK G,1049000.0,2022,Own Damage,Petrol,5,37000 ,First Owner,1497 ,Manual,2022
Maruti,Maruti Grand Vitara Zeta Plus Hybrid CVT BSVI,1275000.0,2022,Comprehensive,Petrol,5,31000 ,First Owner,1490 ,Automatic,2022
Volkswagen,Volkswagen Taigun 1.0 TSI Topline AT BSVI,1098000.0,2022,Comprehensive,Petrol,5,37810 ,First Owner,999 ,Automatic,2022
Hyundai,Hyundai Creta 1.6 SX Automatic Diesel,1125000.0,2020,Own Damage,Diesel,5,78000 ,First Owner,1582 ,Automatic,2020
Mahindra,Mahindra Alturas G4 4X4 AT BSIV,1600000.0,2019,Zero Dep,Diesel,7,60000 ,First Owner,2157 ,Automatic,2019
MG,MG Hector Plus Sharp Pro CVT 7 Str,2000000.0,2025,Comprehensive,Petrol,7,8000 ,First Owner,1451 ,Automatic,2025
MG,MG Hector Sharp Pro CVT,1840000.0,2024,Own Damage,Petrol,5,9600 ,First Owner,1451 ,Automatic,2024
Kia,Kia Carens X-Line DCT 6 STR,1800000.0,2024,Own Damage,Petrol,6,7500 ,First Owner,1482 ,Automatic,2024
BMW,BMW X1 sDrive 20d xLine,1790000.0,2018,Own Damage,Diesel,5,48000 ,Second Owner,1995 ,Automatic,2018
Kia,Kia Seltos GTX Plus Turbo DCT,1675000.0,2023,Comprehensive,Petrol,5,34500 ,First Owner,1482 ,Automatic,2023
Kia,Kia Seltos GTX Plus Diesel AT,1650000.0,2022,Own Damage,Diesel,5,9000 ,First Owner,1493 ,Automatic,2022
Maruti,Maruti Grand Vitara Zeta Plus Hybrid CVT,1750000.0,2024,Comprehensive,Petrol,5,24000 ,First Owner,1490 ,Automatic,2024
Mahindra,Mahindra XUV700 AX7 6Str AT,2000000.0,2024,Own Damage,Petrol,6,15000 ,First Owner,1999 ,Automatic,2024
Mahindra,Mahindra Alturas G4 4X4 AT BSIV,1775000.0,2019,Comprehensive,Diesel,7,70000 ,First Owner,2157 ,Automatic,2019
Mahindra,Mahindra XUV700 AX7 AT Luxury Pack BSVI,1950000.0,2022,Own Damage,Petrol,7,16000 ,First Owner,1999 ,Automatic,2022
Hyundai,Hyundai Creta SX IVT,1735000.0,2024,Comprehensive,Petrol,5,16000 ,First Owner,1497 ,Automatic,2024
MG,MG Hector Plus 1.5 Turbo Sharp Pro CVT BSVI,1700000.0,2023,Comprehensive,Petrol,6,31000 ,First Owner,1451 ,Automatic,2023
Honda,Honda Elevate ZX CVT Non RF,1550000.0,2024,Comprehensive,Petrol,5,6000 ,First Owner,1498 ,Automatic,2024
Hyundai,Hyundai Creta N Line N10 DCT,1875000.0,2024,Comprehensive,Petrol,5,13000 ,First Owner,1482 ,Automatic,2024
Mahindra,Mahindra Scorpio N Z8L AT 2023-2025,1990000.0,2024,Comprehensive,Petrol,7,18000 ,First Owner,1997 ,Automatic,2024
Kia,Kia Carens Luxury Plus iMT,1525000.0,2023,Comprehensive,Petrol,7,11246 ,First Owner,1482 ,Manual,2023
Kia,Kia Seltos GTX Plus Turbo DCT,1850000.0,2024,Comprehensive,Petrol,5,14000 ,First Owner,1482 ,Automatic,2024
MG,MG Hector Plus Savvy Pro CVT,1975000.0,2024,Comprehensive,Petrol,6,3206 ,First Owner,1451 ,Automatic,2024
MG,MG Hector Plus Sharp Pro CVT 7 Str,1890000.0,2024,Own Damage,Petrol,7,6000 ,First Owner,1451 ,Automatic,2024
MG,MG Hector Savvy Pro CVT 2023-2025,1725000.0,2024,Own Damage,Petrol,5,14000 ,,1451 ,Automatic,2024
Kia,Kia Seltos GTX Plus Turbo DCT,1750000.0,2023,Zero Dep,Petrol,5,11000 ,First Owner,1482 ,Automatic,2023
Kia,Kia Carens Luxury Plus iMT BSVI,1525000.0,2023,Own Damage,Petrol,7,7100 ,First Owner,1482 ,Automatic,2023
Toyota,Toyota Innova Crysta 2.4 ZX 7 STR AT,2000000.0,2022,Comprehensive,Diesel,7,97000 ,First Owner,2393 ,Automatic,2022
Hyundai,Hyundai Creta SX Tech iVT,1750000.0,2024,Comprehensive,Petrol,5,16000 ,First Owner,1497 ,Automatic,2024
Toyota,Toyota Innova Crysta 2.4 GX 7Str,1975000.0,2024,Third Party,Diesel,7,23000 ,First Owner,2393 ,Manual,2024
MG,MG Hector Sharp EX CVT,1800000.0,2023,Own Damage,Petrol,5,14000 ,First Owner,1451 ,Automatic,2023
MG,MG Hector 1.5 Turbo Savvy Pro CVT BSVI,1625000.0,2023,Comprehensive,Petrol,5,49000 ,First Owner,1451 ,Automatic,2023
Hyundai,Hyundai Creta SX IVT,1525000.0,2023,Comprehensive,Petrol,5,10000 ,First Owner,1497 ,Automatic,2023
Kia,Kia Carens Luxury Plus DCT 6 STR BSVI,1525000.0,2023,Zero Dep,Petrol,6,24000 ,First Owner,1482 ,Automatic,2023
Toyota,Toyota Hyryder V HYBRID,1910000.0,2024,Comprehensive,Petrol,5,8000 ,First Owner,1490 ,Automatic,2024
Toyota,Toyota Hyryder G HYBRID,1565000.0,2023,Comprehensive,Petrol,5,67080 ,First Owner,1490 ,Automatic,2023
Toyota,Toyota Innova Crysta 2.4 GX 7 STR AT,1700000.0,2020,Comprehensive,Diesel,7,35000 ,Second Owner,2393 ,Automatic,2020
Jeep,Jeep Compass 1.4 Limited Opt DCT BSVI,1800000.0,2021,Own Damage,Petrol,5,50000 ,Second Owner,1368 ,Automatic,2021
Kia,Kia Seltos HTX Diesel AT,1700000.0,2024,Comprehensive,Diesel,5,41000 ,First Owner,1493 ,Automatic,2024
BMW,BMW X1 sDrive20d Expedition,1900000.0,2020,Own Damage,Diesel,5,70000 ,First Owner,1995 ,Automatic,2020
Audi,Audi Q3 30 TFSI Premium FWD,1675000.0,2017,Comprehensive,Petrol,5,58000 ,First Owner,1395 ,Automatic,2017
Tata,Tata Safari XZA Plus (O) AT BSVI,1790000.0,2023,Zero Dep,Diesel,7,30000 ,First Owner,1956 ,Automatic,2023
Toyota,Toyota Innova Crysta 2.4 GX 7 STR AT,1700000.0,2020,Own Damage,Diesel,7,54000 ,First Owner,2393 ,Automatic,2020
Mahindra,Mahindra Scorpio N Z4 Diesel AT BSVI,1750000.0,2024,Own Damage,Diesel,7,22000 ,First Owner,2198 ,Automatic,2024
Toyota,Toyota Hyryder G HYBRID,1700000.0,2024,Own Damage,Petrol,5,39770 ,First Owner,1490 ,Automatic,2024
Mercedes-Benz,Mercedes-Benz GLA Class 200,1800000.0,2016,Own Damage,Petrol,5,70000 ,Second Owner,1991 ,Automatic,2016
MG,MG Hector Sharp CVT,1599000.0,2023,Comprehensive,Petrol,5,24600 ,First Owner,1451 ,Automatic,2023
Kia,Kia Seltos GTX Plus Diesel AT,1650000.0,2022,Third Party,Diesel,5,24000 ,First Owner,1493 ,Automatic,2022
Kia,Kia Seltos HTX IVT,1525000.0,2023,Comprehensive,Petrol,5,30000 ,First Owner,1497 ,Automatic,2023
MG,MG Hector Sharp CVT,1675000.0,2023,Comprehensive,Petrol,5,18000 ,First Owner,1451 ,Automatic,2023
Kia,Kia Carens Luxury Opt Diesel AT,1760000.0,2024,Comprehensive,Diesel,7,5800 ,First Owner,1493 ,Automatic,2023
Hyundai,Hyundai Alcazar Signature (O) AT,1795000.0,2023,Comprehensive,Petrol,6,12000 ,First Owner,1999 ,Automatic,2023
Honda,Honda Elevate VX CVT Non RF,1600000.0,2025,Own Damage,Petrol,5,10000 ,First Owner,1498 ,Automatic,2025
Kia,Kia Seltos GTX Plus Turbo DCT,1790000.0,2024,Comprehensive,Petrol,5,25543 ,First Owner,1482 ,Automatic,2024
Kia,Kia Seltos HTX Diesel AT,1799000.0,2024,Comprehensive,Diesel,5,39999 ,First Owner,1493 ,Automatic,2024
MG,MG Hector Plus Sharp Pro CVT,1975000.0,2025,Comprehensive,Petrol,6,7000 ,First Owner,1451 ,Automatic,2025
MG,MG Hector Sharp Pro CVT,1800000.0,2024,Own Damage,Petrol,5,15000 ,First Owner,1451 ,Automatic,2024
Volkswagen,Volkswagen Taigun 1.5 TSI GT Plus DSG ES,1650000.0,2024,Comprehensive,Petrol,5,29000 ,First Owner,1498 ,Automatic,2024
Ford,Ford Endeavour 3.2 Titanium AT 4X4,1650000.0,2017,Own Damage,Diesel,7,100000 ,Second Owner,3198 ,Automatic,2017
MG,MG Hector Plus Savvy Pro CVT,2000000.0,2024,Own Damage,Petrol,6,3000 ,First Owner,1451 ,Automatic,2024
MG,MG Hector Plus Sharp Pro CVT,1890000.0,2024,Third Party,Petrol,6,9800 ,First Owner,1451 ,Automatic,2024
Mahindra,Mahindra XUV700 AX5 7 Str Diesel AT,1875000.0,2023,Comprehensive,Diesel,7,39000 ,First Owner,2198 ,Automatic,2023
MG,MG Hector 1.5 Turbo Savvy Pro CVT BSVI,1750000.0,2023,Comprehensive,Petrol,5,18000 ,First Owner,1451 ,Automatic,2023
Audi,Audi A6 35 TDI,1650000.0,2017,Comprehensive,Diesel,5,37000 ,First Owner,1968 ,Automatic,2017
Audi,Audi A3 35 TFSI Premium Plus,1900000.0,2019,Comprehensive,Petrol,5,55419 ,First Owner,1395 ,Automatic,2019
Mahindra,Mahindra Scorpio N Z8 Diesel 4x4 AT BSVI,1925000.0,2022,Comprehensive,Diesel,7,67000 ,First Owner,2198 ,Automatic,2022
Audi,Audi A4 30 TFSI Premium Plus,1875000.0,2017,Comprehensive,Petrol,5,45068 ,First Owner,1395 ,Automatic,2016
Kia,Kia Seltos GTX Plus Diesel AT,1900000.0,2024,Own Damage,Diesel,5,55000 ,First Owner,1493 ,Automatic,2024
MG,MG Hector BlackStorm CVT,1800000.0,2024,Comprehensive,Petrol,5,15000 ,First Owner,1451 ,Automatic,2024
Kia,Kia Carnival Premium 8 STR,1950000.0,2020,Own Damage,Diesel,8,90000 ,First Owner,2199 ,Automatic,2020
Honda,Honda Elevate ZX CVT Non RF,1550000.0,2025,Own Damage,Petrol,5,30000 ,First Owner,1498 ,Automatic,2025
Kia,Kia Seltos GTX Plus Turbo DCT,1850000.0,2025,Comprehensive,Petrol,5,24500 ,First Owner,1482 ,Automatic,2024
Audi,Audi A6 35 TDI,1650000.0,2017,Own Damage,Diesel,5,30000 ,Second Owner,1968 ,Automatic,2017
Volvo,Volvo S60 D4 SUMMUM,1725000.0,2018,Comprehensive,Diesel,5,40000 ,First Owner,1984 ,Automatic,2018
Kia,Kia Carens Luxury Plus iMT BSVI,1525000.0,2023,Own Damage,Petrol,7,7100 ,First Owner,1482 ,Automatic,2023
Mahindra,Mahindra XUV700 AX7 AT BSVI,1750000.0,2022,Own Damage,Petrol,7,70000 ,First Owner,1999 ,Automatic,2022
MG,MG Hector Sharp CVT,1550000.0,2023,Comprehensive,Petrol,5,31000 ,First Owner,1451 ,Automatic,2023
MG,MG Hector Plus Sharp Pro CVT 7 Str,1725000.0,2024,Comprehensive,Petrol,7,35000 ,First Owner,1451 ,Automatic,2024
Tata,Tata Safari XZA Plus AT BSVI,1575000.0,2022,Comprehensive,Diesel,7,57000 ,First Owner,1956 ,Automatic,2022
Audi,Audi A4 35 TDI Technology,1800000.0,2018,Own Damage,Diesel,5,95000 ,First Owner,1968 ,Automatic,2017
Kia,Kia Carens Luxury Plus DCT 6 STR BSVI,1525000.0,2023,Zero Dep,Petrol,6,24000 ,First Owner,1482 ,Automatic,2023
Audi,Audi A6 35 TDI,1850000.0,2025,Comprehensive,Diesel,5,55000 ,Second Owner,1968 ,Automatic,2019
Tata,Tata Safari Pure,1650000.0,2025,Own Damage,Diesel,7,11115 ,First Owner,1956 ,Manual,2025
MG,MG Hector Plus Sharp Pro CVT 7 Str,1899000.0,2024,Comprehensive,Petrol,7,11000 ,First Owner,1451 ,Automatic,2024
Maruti,Maruti Grand Vitara Alpha AT BSVI,1600000.0,2022,Own Damage,Petrol,5,42000 ,First Owner,1462 ,Automatic,2022
Mahindra,Mahindra XUV700 AX7 6Str AT,2000000.0,2024,Own Damage,Petrol,6,15000 ,First Owner,1999 ,Automatic,2024
Toyota,Toyota Innova Crysta 2.4 GX 7 STR AT,1750000.0,2020,Comprehensive,Diesel,7,33000 ,First Owner,2393 ,Automatic,2020
Hyundai,Hyundai Tucson GL Opt AT,1575000.0,2020,Comprehensive,Petrol,5,30000 ,First Owner,1999 ,Automatic,2020
Kia,Kia Seltos GTX Diesel AT,1799000.0,2024,Own Damage,Diesel,5,33000 ,First Owner,1493 ,Automatic,2024
Mercedes-Benz,Mercedes-Benz C-Class Prime C 220d,1800000.0,2018,Own Damage,Diesel,5,85000 ,Second Owner,1950 ,Automatic,2018
Kia,Kia Seltos GTX Plus Turbo DCT,1725000.0,2023,Comprehensive,Petrol,5,41000 ,First Owner,1482 ,Automatic,2023
Audi,Audi Q3 30 TFSI Premium FWD,1675000.0,2017,Comprehensive,Petrol,5,58000 ,First Owner,1395 ,Automatic,2017
Tata,Tata Safari XZA Plus (O) AT BSVI,1790000.0,2023,Zero Dep,Diesel,7,30000 ,First Owner,1956 ,Automatic,2023
Maruti,Maruti Grand Vitara Alpha Plus Hybrid CVT,1845000.0,2024,Zero Dep,Petrol,5,18000 ,First Owner,1490 ,Automatic,2024
Audi,Audi Q2 Technology,1925000.0,2021,Third Party,Petrol,5,78000 ,First Owner,1984 ,Automatic,2021
Jeep,Jeep Compass 1.4 Limited Opt DCT BSVI,1800000.0,2021,Own Damage,Petrol,5,50000 ,Second Owner,1368 ,Automatic,2021
Mahindra,Mahindra Scorpio N Z8L 6 Str AT BSVI,1975000.0,2023,Own Damage,Petrol,6,10000 ,First Owner,1997 ,Automatic,2023
Audi,Audi Q3 35 TDI Quattro Premium Plus,1650000.0,2018,Own Damage,Diesel,5,54000 ,First Owner,1968 ,Automatic,2018
Skoda,Skoda Octavia Style,1775000.0,2021,Own Damage,Petrol,5,46000 ,First Owner,1984 ,Automatic,2021
Hyundai,Hyundai Creta SX (O),1590000.0,2024,Zero Dep,Petrol,5,31000 ,First Owner,1497 ,Manual,2024
Toyota,Toyota Camry Hybrid,1690000.0,2017,Own Damage,Petrol,5,83000 ,Second Owner,2494 ,Automatic,2017
Hyundai,Hyundai Creta SX (O),1800000.0,2024,Own Damage,Petrol,5,9500 ,First Owner,1497 ,Manual,2024
Toyota,Toyota Fortuner 2.8 2WD AT BSIV,1975000.0,2017,Own Damage,Diesel,7,213000 ,First Owner,2755 ,Automatic,2017
Mercedes-Benz,Mercedes-Benz GLA Class 200 Sport Edition,1790000.0,2016,Own Damage,Petrol,5,37000 ,First Owner,1991 ,Automatic,2016
Jaguar,Jaguar XE Prestige,1750000.0,2017,Own Damage,Petrol,5,40000 ,First Owner,1999 ,Automatic,2017
MG,MG Hector Plus Sharp Pro 2023-2025,1890000.0,2024,Third Party,Petrol,6,9800 ,First Owner,1451 ,Manual,2024
Honda,Honda Elevate VX CVT Non RF,1600000.0,2025,Own Damage,Petrol,5,10000 ,First Owner,1498 ,Automatic,2025
Audi,Audi A4 30 TFSI Premium Plus,1990000.0,2017,Own Damage,Petrol,5,29000 ,Second Owner,1395 ,Automatic,2017
Toyota,Toyota Innova Crysta 2.4 GX AT,1700000.0,2020,Comprehensive,Diesel,7,64000 ,First Owner,2393 ,Automatic,2020
Audi,Audi A4 30 TFSI Technology,1875000.0,2019,Own Damage,Petrol,5,70000 ,Second Owner,1395 ,Automatic,2017
Mahindra,Mahindra Scorpio N Z8 Diesel AT BSVI,1885000.0,2023,Own Damage,Diesel,7,35000 ,Second Owner,2198 ,Automatic,2023
Land,Land Rover Discovery Sport SD4 HSE Luxury 7S,1550000.0,2025,Own Damage,Diesel,7,98000 ,Second Owner,2179 ,Automatic,2016
Toyota,Toyota Innova Crysta 2.4 GX 7 STR AT,1700000.0,2020,Comprehensive,Diesel,7,35000 ,Second Owner,2393 ,Automatic,2020
Audi,Audi A6 35 TDI,1650000.0,2017,Comprehensive,Diesel,5,37000 ,First Owner,1968 ,Automatic,2017
MG,MG Hector 1.5 Turbo Savvy Pro CVT BSVI,1650000.0,2023,Own Damage,Petrol,5,17000 ,First Owner,1451 ,Automatic,2023
Kia,Kia Carens Luxury Opt Diesel AT,1760000.0,2024,Comprehensive,Diesel,7,5800 ,First Owner,1493 ,Automatic,2024
MG,MG Hector 1.5 Turbo Sharp pro CVT BSVI,1675000.0,2023,Third Party,Petrol,5,18000 ,First Owner,1451 ,Automatic,2023
Toyota,Toyota Innova Crysta 2.8 GX AT BSIV,1525000.0,2019,Own Damage,Diesel,7,67213 ,First Owner,2755 ,Automatic,2019
Toyota,Toyota Fortuner 2.8 2WD AT BSIV,2000000.0,2017,Own Damage,Diesel,7,140000 ,First Owner,2755 ,Automatic,2017
Land,Land Rover Range Rover Evoque 2.0 TD4 Pure,1950000.0,2017,Comprehensive,Diesel,5,88000 ,Second Owner,1999 ,Automatic,2017
Audi,Audi A4 30 TFSI Premium Plus,1950000.0,2018,Comprehensive,Petrol,5,95000 ,First Owner,1395 ,Automatic,2018
Kia,Kia Seltos GTX Plus Turbo DCT,1550000.0,2023,Own Damage,Petrol,5,30000 ,Second Owner,1482 ,Automatic,2023
Maruti,Maruti Grand Vitara Alpha Plus Hybrid CVT BSVI,1775000.0,2024,Comprehensive,Petrol,5,20000 ,First Owner,1490 ,Automatic,2023
Hyundai,Hyundai Alcazar Signature (O) AT,1795000.0,2023,Comprehensive,Petrol,6,12000 ,First Owner,1999 ,Automatic,2023
MG,MG Astor Sharp CVT BSVI,1025000.0,2022,Comprehensive,Petrol,5,54000 ,First Owner,1498 ,Automatic,2022
Mahindra,Mahindra Thar LX 4WD Hard Top AT BSVI,1345000.0,2022,Own Damage,Petrol,4,11000 ,First Owner,1997 ,Automatic,2022
Kia,Kia Seltos HTX IVT G,1125000.0,2020,Comprehensive,Petrol,5,48000 ,First Owner,1497 ,Automatic,2020
Toyota,Toyota Hyryder S HYBRID BSVI,1257000.0,2023,Comprehensive,Petrol,5,38000 ,First Owner,1490 ,Automatic,2022
Jeep,Jeep Compass 2.0 Limited Plus AT,1295000.0,2020,Third Party,Diesel,5,68000 ,First Owner,1956 ,Automatic,2020
Honda,Honda CR-V 2.0L 2WD AT,1190000.0,2016,Own Damage,Petrol,5,55000 ,Second Owner,1997 ,Automatic,2016
Mahindra,Mahindra Thar LX 4WD Hard Top Diesel BSVI,1325000.0,2022,Own Damage,Diesel,4,40000 ,First Owner,2184 ,Manual,2022
Hyundai,Hyundai Venue S Opt Turbo DCT,1025000.0,2023,Comprehensive,Petrol,5,34000 ,First Owner,998 ,Automatic,2023
Hyundai,Hyundai Creta SX,1295000.0,2023,Own Damage,Petrol,5,39000 ,First Owner,1497 ,Manual,2023
Kia,Kia Seltos HTX IVT,1325000.0,2023,Comprehensive,Petrol,5,67000 ,First Owner,1497 ,Automatic,2023
Hyundai,Hyundai Venue SX,1050000.0,2023,Own Damage,Petrol,5,38000 ,First Owner,1197 ,Manual,2023
BMW,BMW 5 Series 520d Luxury Line,1225000.0,2017,Comprehensive,Diesel,5,71000 ,Third Owner,1995 ,Automatic,2017
Hyundai,Hyundai Creta SX BSVI,1150000.0,2022,Comprehensive,Petrol,5,37200 ,First Owner,1497 ,Manual,2022
Mahindra,Mahindra Thar LX 4WD Hard Top AT BSVI,1150000.0,2021,Comprehensive,Petrol,4,35000 ,First Owner,1997 ,Automatic,2021
Mahindra,Mahindra Thar LX 4WD Hard Top AT BSVI,1225000.0,2022,Own Damage,Petrol,4,72245 ,Second Owner,1997 ,Automatic,2022
MG,MG Hector Sharp AT BSIV,1145000.0,2020,Zero Dep,Petrol,5,45000 ,First Owner,1451 ,Automatic,2020
Hyundai,Hyundai Creta SX Diesel AT BSVI,1090000.0,2021,Own Damage,Diesel,5,66000 ,First Owner,1493 ,Automatic,2021
Tata,Tata Harrier XZA AT BSVI,1185000.0,2021,Own Damage,Diesel,5,64000 ,First Owner,1956 ,Automatic,2021
Mahindra,Mahindra Thar LX 4WD Hard Top AT BSVI,1249000.0,2022,Comprehensive,Petrol,4,17000 ,First Owner,1997 ,Automatic,2022
Kia,Kia Seltos GTX Plus DCT,1100000.0,2020,Comprehensive,Petrol,5,40000 ,First Owner,1353 ,Automatic,2020
Hyundai,Hyundai Creta 1.6 SX Automatic Diesel,1150000.0,2020,Zero Dep,Diesel,5,83000 ,First Owner,1582 ,Automatic,2020
Kia,Kia Sonet HTX Turbo DCT,1050000.0,2023,Comprehensive,Petrol,5,32000 ,First Owner,998 ,Automatic,2023
Hyundai,Hyundai Alcazar 1.5 Signature (O) 7-Seater Diesel AT,1275000.0,2021,Own Damage,Diesel,7,55000 ,First Owner,1498 ,Automatic,2021
Hyundai,Hyundai Venue N Line N8 turbo DCT,1075000.0,2023,Zero Dep,Petrol,5,32500 ,First Owner,998 ,Automatic,2023
Hyundai,Hyundai Verna SX IVT,1250000.0,2023,Comprehensive,Petrol,5,28000 ,First Owner,1497 ,Automatic,2023
Mahindra,Mahindra Thar LX Hard Top AT RWD,1371000.0,2024,Own Damage,Petrol,4,7700 ,First Owner,1997 ,Automatic,2024
Maruti,Maruti Grand Vitara Delta,1225000.0,2024,Own Damage,Petrol,5,16000 ,First Owner,1462 ,Manual,2024
Mahindra,Mahindra Scorpio S5,1175000.0,2022,Own Damage,Diesel,7,44000 ,First Owner,2179 ,Manual,2022
Skoda,Skoda Slavia 1.0 TSI Style AT BSVI,1140000.0,2023,Comprehensive,Petrol,5,22000 ,First Owner,999 ,Automatic,2022
Kia,Kia Seltos HTK Plus AT D,1250000.0,2021,Own Damage,Diesel,5,47000 ,First Owner,1493 ,Automatic,2021
Maruti,Maruti Jimny Alpha,1175000.0,2023,Zero Dep,Petrol,4,19000 ,First Owner,1462 ,Manual,2023
MG,MG Hector Sharp DCT,1250000.0,2021,Own Damage,Petrol,5,35000 ,First Owner,1451 ,Automatic,2021
Kia,Kia Carens Premium,1150000.0,2023,Own Damage,Petrol,7,10000 ,First Owner,1497 ,Manual,2023
Mahindra,Mahindra Thar LX 4WD Hard Top Diesel BSVI,1350000.0,2022,Own Damage,Diesel,4,30000 ,First Owner,2184 ,Manual,2022
Volkswagen,Volkswagen Taigun 1.5 TSI GT Plus DSG,1350000.0,2022,Comprehensive,Petrol,5,45000 ,First Owner,1498 ,Automatic,2022
MG,MG Astor Savvy CVT Red BSVI,1045000.0,2022,Own Damage,Petrol,5,54000 ,First Owner,1498 ,Automatic,2022
Mahindra,Mahindra Thar LX 4WD Hard Top AT BSVI,1375000.0,2022,Own Damage,Petrol,4,39000 ,First Owner,1997 ,Automatic,2022
Hyundai,Hyundai Creta SX Opt Turbo DCT,1190000.0,2021,Comprehensive,Petrol,5,48000 ,First Owner,1397 ,Automatic,2021
Hyundai,Hyundai Creta SX Executive BSVI,1199000.0,2021,Own Damage,Petrol,5,17500 ,First Owner,1497 ,Manual,2021
Toyota,Toyota Innova Crysta 2.4 GX MT 8S BSIV,1350000.0,2019,Third Party,Diesel,8,90000 ,First Owner,2393 ,Manual,2019
Mahindra,Mahindra Thar LX 4WD Hard Top AT BSVI,1285000.0,2023,Comprehensive,Petrol,4,29000 ,First Owner,1997 ,Automatic,2023
Hyundai,Hyundai Creta SX Opt IVT BSVI,1360000.0,2021,Zero Dep,Petrol,5,40000 ,First Owner,1497 ,Automatic,2021
Kia,Kia Carens Prestige Plus DCT BSVI,1350000.0,2023,Comprehensive,Petrol,7,32563 ,First Owner,1482 ,Automatic,2023
Kia,Kia Seltos HTX IVT G,1150000.0,2021,Own Damage,Petrol,5,67000 ,First Owner,1497 ,Automatic,2021
Honda,Honda City VX CVT,1250000.0,2022,Comprehensive,Petrol,5,13000 ,First Owner,1498 ,Automatic,2022
Kia,Kia Seltos GTX Plus,1275000.0,2021,Own Damage,Petrol,5,48292 ,First Owner,1353 ,Manual,2021
Tata,Tata Curvv Pure Plus S Diesel DCA,1500000.0,2025,Own Damage,Diesel,5,5000 ,Second Owner,1497 ,Automatic,2025
Toyota,Toyota Rumion G AT,1150000.0,2025,Own Damage,Petrol,7,4500 ,First Owner,1462 ,Automatic,2025
MG,MG Hector Sharp DCT,1225000.0,2021,Third Party,Petrol,5,46560 ,First Owner,1451 ,Automatic,2021
Kia,Kia Seltos HTX IVT,1250000.0,2022,Own Damage,Petrol,5,62000 ,First Owner,1497 ,Automatic,2022
Mahindra,Mahindra Thar LX 4WD Hard Top BSVI,1235000.0,2022,Comprehensive,Petrol,4,38000 ,First Owner,1997 ,Manual,2022
Toyota,Toyota Hyryder E,1125000.0,2023,Own Damage,Petrol,5,28000 ,First Owner,1462 ,Manual,2023
Mahindra,Mahindra Scorpio S5,1175000.0,2022,Comprehensive,Diesel,7,45800 ,First Owner,2179 ,Manual,2022
Volkswagen,Volkswagen Taigun 1.0 TSI Topline BSVI,1050000.0,2023,Comprehensive,Petrol,5,21000 ,First Owner,999 ,Manual,2023
Maruti,Maruti Ertiga ZXI CNG,1030000.0,2022,Zero Dep,CNG,7,80000 ,First Owner,1462 ,Manual,2022
MG,MG Astor Savvy CVT Red BSVI,1095000.0,2021,Own Damage,Petrol,5,15000 ,,1498 ,Automatic,2021
Kia,Kia Carens Luxury Plus Turbo DCT 2022-2023,1440000.0,2022,Comprehensive,Petrol,7,38000 ,First Owner,1353 ,Automatic,2022
Kia,Kia Seltos GTX Plus DCT,1200000.0,2020,Own Damage,Petrol,5,61500 ,First Owner,1353 ,Automatic,2020
MG,MG Hector Plus Sharp CVT,1249000.0,2022,Comprehensive,Petrol,6,42000 ,First Owner,1451 ,Automatic,2022
Hyundai,Hyundai Venue S Opt Turbo DCT,1075000.0,2023,Own Damage,Petrol,5,46000 ,First Owner,998 ,Automatic,2023
Maruti,Maruti Baleno Zeta,640000.0,2022,Comprehensive,Petrol,5,47000 ,First Owner,1197 ,Manual,2022
Kia,Kia Sonet HTK Plus BSVI,783000.0,2022,Comprehensive,Petrol,5,28000 ,First Owner,1197 ,Manual,2022
Kia,Kia Seltos HTK G,875000.0,2020,Own Damage,Petrol,5,47000 ,First Owner,1497 ,Manual,2020
Hyundai,Hyundai Creta EX Diesel BSVI,900000.0,2020,Third Party,Diesel,5,33000 ,First Owner,1493 ,Manual,2020
Kia,Kia Seltos HTE G,960000.0,2023,Own Damage,Petrol,5,10000 ,First Owner,1497 ,Manual,2023
Kia,Kia Sonet HTX Turbo iMT BSVI,749000.0,2021,Own Damage,Petrol,5,44000 ,First Owner,998 ,Manual,2021
MG,MG Hector Sharp DCT,990000.0,2020,Comprehensive,Petrol,5,55000 ,First Owner,1451 ,Automatic,2019
Toyota,Toyota Yaris J CVT,660000.0,2019,Own Damage,Petrol,5,68000 ,First Owner,1496 ,Automatic,2019
Kia,Kia Sonet HTK,850000.0,2023,Own Damage,Petrol,5,35000 ,First Owner,1197 ,Manual,2023
MG,MG Hector Sharp DCT,998000.0,2020,Comprehensive,Petrol,5,52293 ,First Owner,1451 ,Automatic,2020
Hyundai,Hyundai Venue SX Plus Turbo DCT BSIV,660000.0,2019,Zero Dep,Petrol,5,60000 ,First Owner,998 ,Automatic,2019
Honda,Honda City i-VTEC V,565000.0,2018,Comprehensive,Petrol,5,56000 ,First Owner,1497 ,Manual,2018
Maruti,Maruti Vitara Brezza VXI,585000.0,2020,Own Damage,Petrol,5,58000 ,First Owner,1462 ,Manual,2020
Hyundai,Hyundai Venue S Turbo DCT BSIV,711000.0,2019,Comprehensive,Petrol,5,65000 ,First Owner,998 ,Automatic,2019
Tata,Tata Nexon KRAZ Plus AMT Diesel,545000.0,2019,Comprehensive,Diesel,5,58127 ,First Owner,1497 ,Automatic,2019
