url,title,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
https://www.cardekho.com/used-car-details/used-Kia-seltos-htk-g-cars-New-Delhi_071900c6-49c0-408e-b8b8-d134e5e199c5.htm,2022 Kia Seltos HTK G,₹10.49 LakhMake Your Offer,Jul 2022,-,Petrol,5 Seats,"37,000 Kms",First Owner,1497 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Maruti-grand-vitara-zeta-plus-hybrid-cvt-bsvi-cars-New-Delhi_78ca1f22-cfdd-4328-a15f-c7f5aea50b60.htm,2022 Maruti Grand Vitara Zeta Plus Hybrid CVT BSVI,₹12.75 LakhMake Your Offer,Dec 2022,Comprehensive,Petrol,5 Seats,"31,000 Kms",First Owner,1490 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Volkswagen-taigun-10-tsi-topline-at-bsvi-cars-New-Delhi_6a98356e-b233-4df7-96e8-eaf24b75818c.htm,2022 Volkswagen Taigun 1.0 TSI Topline AT BSVI,₹10.98 LakhMake Your Offer,Dec 2022,Comprehensive,Petrol,5 Seats,"37,810 Kms",First Owner,999 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-sx-automatic-diesel-cars-New-Delhi_d9d1b343-81a3-45b9-a8a9-c95c4401bed0.htm,2020 Hyundai Creta 1.6 SX Automatic Diesel,₹11.25 LakhMake Your Offer,Jan 2020,-,Diesel,5 Seats,"78,000 Kms",First Owner,1582 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Mahindra-alturas-g4-4x4-at-bsiv-cars-New-Delhi_28697eff-ecbc-48a7-9ff5-a0709f00858f.htm?adId=15810&adType=41,2019 Mahindra Alturas G4 4X4 AT BSIV,₹16 Lakh,2019,Zero Dep,Diesel,7 Seats,"60,000 Kms",First Owner,2157 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-sharp-pro-cvt-7-str-cars-New-Delhi_c9636751-156a-4027-9221-6d65e2fd0d99.htm,2025 MG Hector Plus Sharp Pro CVT 7 Str,₹20 LakhMake Your Offer,Dec 2025,Comprehensive,Petrol,7 Seats,"8,000 Kms",First Owner,1451 cc,Automatic,2025
https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-pro-cvt-cars-New-Delhi_61825940-12a2-4ebc-91c5-cfb38556a124.htm,2024 MG Hector Sharp Pro CVT,₹18.40 LakhMake Your Offer,Jan 2024,-,Petrol,5 Seats,"9,600 Kms",First Owner,1451 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Kia-carens-x-line-dct-6-str-cars-New-Delhi_2c57bdb1-b0bc-418f-af49-b9b005d7255f.htm,2024 Kia Carens X-Line DCT 6 STR,₹18 LakhMake Your Offer,Jan 2024,-,Petrol,6 Seats,"7,500 Kms",First Owner,1482 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Bmw-x1-sdrive-20d-xline-cars-New-Delhi_e58e92d5-5790-41a3-901a-09fb23bae5eb.htm,2018 BMW X1 sDrive 20d xLine,₹17.90 LakhMake Your Offer,May 2018,-,Diesel,5 Seats,"48,000 Kms",Second Owner,1995 cc,Automatic,2018
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-turbo-dct-cars-New-Delhi_87e34130-ff9d-4190-bd0d-a793c1ab13b6.htm,2023 Kia Seltos GTX Plus Turbo DCT,₹16.75 LakhMake Your Offer,Aug 2023,Comprehensive,Petrol,5 Seats,"34,500 Kms",First Owner,1482 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-diesel-at-cars-New-Delhi_f6a74ab3-9c77-40e8-988e-7d5fc8cac14c.htm,2022 Kia Seltos GTX Plus Diesel AT,₹16.50 LakhMake Your Offer,Oct 2022,-,Diesel,5 Seats,"9,000 Kms",First Owner,1493 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Maruti-grand-vitara-zeta-plus-hybrid-cvt-cars-New-Delhi_b6366599-cd66-4c80-8c11-6fb2705261cf.htm,2024 Maruti Grand Vitara Zeta Plus Hybrid CVT,₹17.50 LakhMake Your Offer,Jul 2024,Comprehensive,Petrol,5 Seats,"24,000 Kms",First Owner,1490 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax7-6str-at-cars-New-Delhi_b0373c5d-5b97-4f96-a2f3-987b4cbe3463.htm?adId=18527&adType=41,2024 Mahindra XUV700 AX7 6Str AT,₹20 Lakh,2024,-,Petrol,6 Seats,"15,000 Kms",First Owner,1999 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mahindra-alturas-g4-4x4-at-bsiv-cars-New-Delhi_9ee8e978-f4b3-4c5c-baea-107719d35efd.htm?adId=14838&adType=41,2019 Mahindra Alturas G4 4X4 AT BSIV,₹17.75 LakhMake Your Offer,Mar 2019,Comprehensive,Diesel,7 Seats,"70,000 Kms",First Owner,2157 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax7-at-luxury-pack-bsvi-cars-New-Delhi_2db60ec0-4e89-464d-9c87-0f423aac9902.htm,2022 Mahindra XUV700 AX7 AT Luxury Pack BSVI,₹19.50 LakhMake Your Offer,Aug 2022,-,Petrol,7 Seats,"16,000 Kms",First Owner,1999 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-ivt-cars-New-Delhi_56323730-65f8-4ef8-aec8-d94008c4f7ea.htm,2024 Hyundai Creta SX IVT,₹17.35 LakhMake Your Offer,Jun 2024,Comprehensive,Petrol,5 Seats,"16,000 Kms",First Owner,1497 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-15-turbo-sharp-pro-cvt-bsvi-cars-New-Delhi_563c4a97-01de-47a4-8774-ace805062281.htm,2023 MG Hector Plus 1.5 Turbo Sharp Pro CVT BSVI,₹17 LakhMake Your Offer,Jun 2023,Comprehensive,Petrol,6 Seats,"31,000 Kms",First Owner,1451 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Honda-elevate-zx-cvt-non-rf-cars-New-Delhi_c4531c56-2a53-4b8f-9e44-32c5d48598d9.htm,2024 Honda Elevate ZX CVT Non RF,₹15.50 LakhMake Your Offer,May 2024,Comprehensive,Petrol,5 Seats,"6,000 Kms",First Owner,1498 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Hyundai-creta-n-line-n10-dct-cars-New-Delhi_dd2e6f60-4c09-4201-9b0a-289c406d3335.htm?adId=17178&adType=41,2024 Hyundai Creta N Line N10 DCT,₹18.75 LakhMake Your Offer,Nov 2024,Comprehensive,Petrol,5 Seats,"13,000 Kms",First Owner,1482 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-n-z8l-at-2023-2025-cars-New-Delhi_6ccec46e-1e7e-44ae-8acd-f89e8a03906b.htm,2024 Mahindra Scorpio N Z8L AT 2023-2025,₹19.90 LakhMake Your Offer,Jul 2024,Comprehensive,Petrol,7 Seats,"18,000 Kms",First Owner,1997 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Kia-carens-luxury-plus-imt-cars-New-Delhi_c9b99ec4-e1e0-420a-bdb0-4e7b287a006f.htm,2023 Kia Carens Luxury Plus iMT,₹15.25 LakhMake Your Offer,Jun 2023,Comprehensive,Petrol,7 Seats,"11,246 Kms",First Owner,1482 cc,Manual,2023
